rank	doc_id	score	passage_preview	start_line
1	14006	3.002911	﻿The Project Gutenberg eBook of An English Grammar	1
2	15097	2.003712	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
3	11615	2.003478	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
4	45023	1.519608	﻿The Project Gutenberg eBook of The Pictorial Grammar	1
5	56453	1.509252	﻿The Project Gutenberg eBook of The Egregious English	1
6	41448	1.504719	﻿The Project Gutenberg eBook of The Oppressed English	1
7	39862	1.504157	﻿The Project Gutenberg eBook of English Traits	1
8	34595	1.504086	﻿The Project Gutenberg eBook of The English Language	1
9	37091	1.502661	﻿The Project Gutenberg eBook of A Song of the English	1
10	58938	1.502272	﻿The Project Gutenberg eBook of English Hours	1
11	4351	1.501955	﻿The Project Gutenberg eBook of The English Constitution	1
12	14469	1.501555	﻿The Project Gutenberg eBook of The English Novel	1
13	69207	1.501481	﻿The Project Gutenberg eBook of Tibetan Grammar	1
14	9197	1.501476	﻿The Project Gutenberg eBook of English Villages	1
15	45814	1.501237	﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises	1
16	50595	1.501203	﻿The Project Gutenberg eBook of Bohemian Grammar	1
17	40550	1.501197	﻿The Project Gutenberg eBook of Plain English	1
18	49832	1.501129	﻿The Project Gutenberg eBook of English Monasteries	1
19	59795	1.501008	﻿The Project Gutenberg eBook of A Finnish Grammar	1
20	38111	1.500854	﻿The Project Gutenberg eBook of English Society	1
21	10913	1.500777	﻿The Project Gutenberg eBook of English Poems	1
22	67874	1.500747	﻿The Project Gutenberg eBook of Some English Gardens	1
23	16126	1.500656	﻿The Project Gutenberg eBook of English Satires	1
24	43148	1.500618	﻿The Project Gutenberg eBook of An English Squire	1
25	33020	1.500489	﻿The Project Gutenberg eBook of English Costume	1
26	42139	1.500420	﻿The Project Gutenberg eBook of The English Lakes	1
27	57664	1.500285	﻿The Project Gutenberg eBook of The English Lakes	1
28	36882	1.500199	﻿The Project Gutenberg eBook of A Grammar of Freethought	1
29	7188	1.286711	﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition	1
30	48702	1.200541	﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools	1
31	44802	1.128304	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
32	43397	1.127801	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
33	11694	1.009212	﻿The Project Gutenberg eBook of The evolution of English lexicography	1
34	54318	1.006424	﻿The Project Gutenberg eBook of The English Lakes: A Sketch-Book	1
35	41430	1.005917	﻿The Project Gutenberg eBook of English Lakes: Water-Colours	1
36	37342	1.005659	﻿The Project Gutenberg eBook of Medieval English Literature	1
37	43352	1.004683	﻿The Project Gutenberg eBook of A History of English Versification	1
38	28436	1.004504	﻿The Project Gutenberg eBook of A Handbook of the English Language	1
