rank	doc_id	score	passage_preview	start_line
1	576	43.840473	﻿           The Project Gutenberg eBook of The Project Gutenberg Web Pages	1
2	673	40.220767	*The Project Gutenberg Etext of Webster's Unabridged Dictionary*	7
3	200	39.386360	﻿The Project Gutenberg eBook of The Project Gutenberg Encyclopedia, Volume 1 of 28	1
4	27045	24.357898	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2008)	1
5	51358	24.357633	﻿The Project Gutenberg eBook of Gutenberg, and the Art of Printing	1
6	27039	24.356750	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2005)	1
7	31632	24.350900	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2009)	1
8	27046	22.399742	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2008)	1
9	27040	22.397092	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2005)	1
10	31634	22.386417	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2009)	1
11	31633	22.386337	﻿The Project Gutenberg eBook of El Proyecto Gutenberg (1971-2009)	1
12	9109	22.381600	﻿The Project Gutenberg eBook of The Project Gutenberg FAQ 2002	1
13	181	22.082813	﻿The Project Gutenberg eBook of The Project Gutenberg RST Manual	1
14	10802	21.911327	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
15	14585	20.767283	﻿The Project Gutenberg eBook of ERPANET Case Study: Project Gutenberg	1
16	29441	20.435139	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Plato: An Index	1
17	57714	20.261272	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Don Marquis	1
18	29459	19.925584	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Xenophon: An Index	1
19	59049	19.802955	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Rabelais	1
20	57966	19.740283	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Thackeray	1
21	58975	19.016749	﻿The Project Gutenberg eBook of Index of Project Gutenberg Works on Black History	1
22	59509	18.957983	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Edward Gibbon	1
23	29156	18.913418	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Conrad: An Index	1
24	11220	18.911457	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
25	58383	18.608506	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Anthony Trollope	1
26	29434	18.552682	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Flavius Josephus: An Index	1
27	29430	18.551980	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Hall Caine: An Index	1
28	29467	18.551675	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Lincoln: An Index	1
29	29431	18.550974	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Rafael Sabatini: An Index	1
30	58573	18.541474	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Leonid Andreyev	1
31	59361	18.538334	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Aldous Huxley	1
