rank	doc_id	score	passage_preview	start_line
1	28860	0.226881	﻿The Project Gutenberg eBook of The Memoirs, Correspondence, and Miscellanies, From the Papers of Thomas Jefferson	1
2	2	0.201802	﻿The Project Gutenberg eBook of The United States Bill of Rights	1
3	58113	0.194335	﻿The Project Gutenberg eBook of An Act to Provide for the Paving, Gravelling, Lighting, and Watching Certain Footways and Carriageways in and Near Brompton Square	1
4	62016	0.184272	﻿The Project Gutenberg eBook of Acts of 30° & 43° Geo. III. relating to a district in the Parish of Saint Luke, Chelsea, called Hans Town	1
5	8142	0.172668	﻿The Project Gutenberg eBook of The Riot Act	1
6	16377	0.170754	﻿The Project Gutenberg eBook of The blue book of chess	1
7	31423	0.163608	﻿The Project Gutenberg eBook of In-Door Gardening for Every Week in the Year	1
8	8283	0.158221	﻿The Project Gutenberg eBook of The World English Bible (WEB): Titus	1
9	67553	0.154279	﻿The Project Gutenberg eBook of Etiquette for Little Folks	1
10	69318	0.153928	﻿The Project Gutenberg eBook of Youthful folly detected: Written for the benefit of youth, particularly the female sex	1
11	56181	0.153846	﻿The Project Gutenberg eBook of The Ohio Journal of Science. Vol. XVI., No. 2 (December, 1915)	1
12	4543	0.149612	﻿The Project Gutenberg eBook of The Querist	1
13	8852	0.148241	﻿The Project Gutenberg eBook of Weymouth New Testament in Modern Speech, 3 John	1
14	59122	0.147521	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Lord Byron	1
15	42717	0.147308	﻿The Project Gutenberg eBook of Regulations for the establishment and government of the Royal Military Asylum	1
16	54269	0.147219	﻿The Project Gutenberg eBook of A Letter to the Rev. William Maskell, A.M	1
17	33333	0.145425	﻿The Project Gutenberg eBook of The Statute of Anne	1
18	28256	0.144970	﻿The Project Gutenberg eBook of Thoughts on a Revelation	1
19	62064	0.144920	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
20	54515	0.144033	﻿The Project Gutenberg eBook of Instructions for Officers and Non-Commissioned Officers of Cavalry, on Outpost Duty	1
21	57226	0.143033	﻿The Project Gutenberg eBook of The Organisation of the Royal Naval Artillery Volunteers Explained	1
22	60757	0.142528	﻿The Project Gutenberg eBook of Manual of Parliamentary Practice	1
23	49685	0.142372	﻿The Project Gutenberg eBook of Geiriadur Cymraeg a Saesneg Byr	1
24	42331	0.141526	﻿The Project Gutenberg eBook of The Duty of Submission to Civil Authority,	1
25	6580	0.140644	﻿The Project Gutenberg eBook of Charter and Supplemental Charter of the Hudson's Bay Company	1
26	23614	0.139706	﻿The Project Gutenberg eBook of Happy Days	1
27	48349	0.139080	﻿The Project Gutenberg eBook of The religious and loyal subject's duty considered: with regard to the present Government and the Revolution	1
28	5762	0.138334	﻿The Project Gutenberg eBook of Grammar and Vocabulary of the Lau Language, Solomon Islands	1
29	55185	0.138263	﻿The Project Gutenberg eBook of Some Principles of Frontier Mountain Warfare	1
30	64868	0.137970	﻿The Project Gutenberg eBook of The Booke of the Universall Kirk of Scotland	1
31	8363	0.137658	﻿The Project Gutenberg eBook of The Bible, Douay-Rheims, Book 63: Titus	1
32	672	0.136364	﻿The Project Gutenberg eBook of The Secret Guide to Computers	1
33	19704	0.136026	﻿The Project Gutenberg eBook of A Pocket Dictionary: Welsh-English	1
34	926	0.135875	﻿The Project Gutenberg eBook of Ten Thousand Dreams Interpreted; Or, What's in a Dream	1
35	9	0.135626	﻿The Project Gutenberg eBook of Abraham Lincoln's First Inaugural Address	1
36	53126	0.135591	﻿The Project Gutenberg eBook of Specimens of British Trench Orders	1
37	37445	0.135580	﻿The Project Gutenberg eBook of The Lady and Her Horse	1
38	23230	0.135107	﻿The Project Gutenberg eBook of Boys: their Work and Influence	1
39	59462	0.134852	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Henry James	1
40	64998	0.134565	﻿The Project Gutenberg eBook of Practical Phrenology Simplified	1
41	37283	0.134007	﻿The Project Gutenberg eBook of The Whole Secret Laid Open, Or the Complete Art of Making the Chemical Fulminating Objects,	1
42	6085	0.133975	﻿The Project Gutenberg eBook of The Code of Honor	1
43	68464	0.133741	﻿The Project Gutenberg eBook of Specifications for street roadway pavements	1
44	35613	0.133582	﻿The Project Gutenberg eBook of A Plan for Securing Observations of the Variable Stars	1
45	27879	0.133122	﻿The Project Gutenberg eBook of The Diplomatic Correspondence of the American Revolution, Vol. 11	1
46	8056	0.133060	﻿The Project Gutenberg eBook of The Bible, King James version, Book 56: Titus	1
47	22684	0.132855	﻿The Project Gutenberg eBook of Patent Laws of the Republic of Hawaii	1
48	1657	0.132397	﻿The Project Gutenberg eBook of Crito	1
49	40901	0.132368	﻿The Project Gutenberg eBook of The Gentleman and Lady's Book of Politeness and Propriety of Deportment, Dedicated to the Youth of Both Sexes	1
50	53866	0.132257	﻿The Project Gutenberg eBook of Thoughts on the Proposed Inclosure of Waltham (commonly called Epping) and Hainault Forests	1
51	13285	0.132143	﻿The Project Gutenberg eBook of Occasional Thoughts in Reference to a Vertuous or Christian life	1
52	26204	0.131668	﻿The Project Gutenberg eBook of A Letter from the Lord Bishop of London, to the Clergy and People of London and Westminster; On Occasion of the Late Earthquakes	1
53	36161	0.131434	﻿The Project Gutenberg eBook of A Letter to Thomas F. Bayard	1
54	58635	0.131292	﻿The Project Gutenberg eBook of Cavalry	1
55	7569	0.131148	﻿The Project Gutenberg eBook of Widger's Quotes and Images from Gerfaut by Charles de Bernard	1
56	33956	0.131001	﻿The Project Gutenberg eBook of True Politeness: A Hand-book of Etiquette for Ladies	1
57	56132	0.130798	﻿The Project Gutenberg eBook of Earthwork Slips and Subsidences upon Public Works	1
58	23476	0.130629	﻿The Project Gutenberg eBook of Churchwardens' Manual	1
59	66230	0.130467	﻿The Project Gutenberg eBook of An Address to the People of New-England	1
60	71955	0.130390	﻿The Project Gutenberg eBook of Remarks on the management, or rather, the mis-management of woods, plantations, and hedge-row timber	1
61	8467	0.130365	﻿The Project Gutenberg eBook of Frost's Laws and By-Laws of American Society	1
62	40935	0.130299	﻿The Project Gutenberg eBook of A Greek-English Lexicon to the New Testament	1
63	13988	0.130208	﻿The Project Gutenberg eBook of Fugitive Slave Law	1
64	62921	0.130117	﻿The Project Gutenberg eBook of Sweet Clover: Harvesting and Thrashing the Seed Crop	1
65	46060	0.130029	﻿The Project Gutenberg eBook of Of the Injustice of Counterfeiting Books	1
66	69686	0.129883	﻿The Project Gutenberg eBook of The hand-book of the law of legacies	1
67	6595	0.129876	﻿The Project Gutenberg eBook of Advice to a Mother on the Management of Her Children	1
68	59449	0.129654	﻿The Project Gutenberg eBook of History of the government of the island of Newfoundland	1
69	9097	0.129608	﻿The Project Gutenberg eBook of Robert's Rules of Order	1
70	10351	0.129561	﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 10	1
71	33946	0.129479	﻿The Project Gutenberg eBook of A Stiptick for a Bleeding Nation	1
72	65260	0.129462	﻿The Project Gutenberg eBook of The Physical Training of Children	1
73	10040	0.129386	﻿The Project Gutenberg eBook of Aleutian Indian and English Dictionary	1
74	5329	0.129371	﻿The Project Gutenberg eBook of PoPHILO: Popular Philosophy	1
75	62603	0.129349	﻿The Project Gutenberg eBook of How to Enamel	1
76	52042	0.129164	﻿The Project Gutenberg eBook of Reasons why a Churchman may with Great Justice Refuse to Subscribe to the British and Foreign Bible Society	1
77	54235	0.129080	﻿The Project Gutenberg eBook of The Office of Bailiff of a Liberty	1
78	50040	0.128928	﻿The Project Gutenberg eBook of St. Benedict's Rule for Monasteries	1
79	9798	0.128845	﻿The Project Gutenberg eBook of Clarissa Harlowe; or the history of a young lady — Volume 2	1
80	27372	0.128829	﻿The Project Gutenberg eBook of The Diplomatic Correspondence of the American Revolution, Vol. 08	1
81	14047	0.128605	﻿The Project Gutenberg eBook of A Letter to A.H. Esq.; Concerning the Stage (1698) and The Occasional Paper No. IX (1698)	1
82	10352	0.128602	﻿The Project Gutenberg eBook of The Works of Samuel Johnson, LL.D. Volume 11	1
83	27624	0.128562	﻿The Project Gutenberg eBook of How to Marry Well	1
84	7578	0.128514	﻿The Project Gutenberg eBook of Widger's Quotes and Images from L'Abbe Constantin by Ludovic Halévy	1
85	70332	0.128506	﻿The Project Gutenberg eBook of The declaration and confession of Robert Watt	1
86	52482	0.128237	﻿The Project Gutenberg eBook of Rules to be observed by masters and pilots of vessels, arriving at the port of Philadelphia,	1
87	4087	0.128202	﻿The Project Gutenberg eBook of An Essay Upon Projects	1
88	36048	0.127893	﻿The Project Gutenberg eBook of Martine's Hand-book of Etiquette, and Guide to True Politeness	1
89	49476	0.127886	﻿The Project Gutenberg eBook of Thoughts on General and Partial Inoculations	1
90	4152	0.127800	﻿The Project Gutenberg eBook of Diary of Samuel Pepys — Volume 32: December 1664	1
91	62025	0.127607	﻿The Project Gutenberg eBook of Positions	1
92	41993	0.127604	﻿The Project Gutenberg eBook of The Sabbath at Home	1
93	36145	0.127563	﻿The Project Gutenberg eBook of No Treason, Vol. VI.: The Constitution of No Authority	1
94	29252	0.127355	﻿The Project Gutenberg eBook of War Taxation: Some Comments and Letters	1
95	56287	0.127095	﻿The Project Gutenberg eBook of Simplex Munditiis, Gentlemen	1
96	1404	0.126881	﻿The Project Gutenberg eBook of The Federalist Papers	1
97	26912	0.126652	﻿The Project Gutenberg eBook of Report of the Juvenile Delinquency Committee	1
98	49145	0.126528	﻿The Project Gutenberg eBook of Remarks upon the First Report of the Royal Commission on Ritual in connection with the integrity of the Book of Common Prayer	1
99	35708	0.126509	﻿The Project Gutenberg eBook of A Character of King Charles the Second	1
100	18	0.126492	﻿The Project Gutenberg eBook of The Federalist Papers	1
