rank	doc_id	score	passage_preview	start_line
1	576	1.797619	﻿           The Project Gutenberg eBook of The Project Gutenberg Web Pages	1
2	673	1.600002	*The Project Gutenberg Etext of Webster's Unabridged Dictionary*	7
3	200	1.500007	﻿The Project Gutenberg eBook of The Project Gutenberg Encyclopedia, Volume 1 of 28	1
4	31632	1.014743	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2009)	1
5	27045	1.013672	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2008)	1
6	27039	1.012749	﻿The Project Gutenberg eBook of Project Gutenberg (1971-2005)	1
7	51358	1.006000	﻿The Project Gutenberg eBook of Gutenberg, and the Art of Printing	1
8	27046	0.761739	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2008)	1
9	27040	0.761247	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2005)	1
10	31634	0.759624	﻿The Project Gutenberg eBook of Le Projet Gutenberg (1971-2009)	1
11	10802	0.759479	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
12	31633	0.758950	﻿The Project Gutenberg eBook of El Proyecto Gutenberg (1971-2009)	1
13	9109	0.752201	﻿The Project Gutenberg eBook of The Project Gutenberg FAQ 2002	1
14	181	0.750784	﻿The Project Gutenberg eBook of The Project Gutenberg RST Manual	1
15	29441	0.633708	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Plato: An Index	1
16	29459	0.620000	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Xenophon: An Index	1
17	14585	0.617303	﻿The Project Gutenberg eBook of ERPANET Case Study: Project Gutenberg	1
18	57714	0.601460	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Don Marquis	1
19	59049	0.600233	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Rabelais	1
20	57966	0.600150	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Thackeray	1
21	57691	0.600000	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Memoirs of Casanova	1
22	29434	0.526316	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Flavius Josephus: An Index	1
23	29156	0.517391	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Conrad: An Index	1
24	29430	0.516393	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Hall Caine: An Index	1
25	29467	0.514085	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Joseph Lincoln: An Index	1
26	29431	0.510638	﻿The Project Gutenberg eBook of The Project Gutenberg Works of Rafael Sabatini: An Index	1
27	11220	0.509479	THE PROJECT GUTENBERG CD AND DVD IMAGE README.TXT FILE	1
28	58573	0.502457	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Leonid Andreyev	1
29	59361	0.501957	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Aldous Huxley	1
30	59570	0.501848	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Charles Bradlaugh	1
31	59785	0.501704	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of James Joyce	1
32	57703	0.501484	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Vaughan Kester	1
33	58195	0.501339	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Edna Ferber	1
34	59194	0.501161	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Alexander Pushkin	1
35	58272	0.501144	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Aleksandr Pushkin	1
36	59393	0.500943	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Herbert Spencer	1
37	59671	0.500894	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Bram Stoker	1
38	59706	0.500765	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Stephen Crane	1
39	58329	0.500728	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Oscar Wilde	1
40	59507	0.500700	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Gustave Flaubert	1
41	59767	0.500652	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of William Wood	1
42	59163	0.500644	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Francis Bacon	1
