rank	doc_id	score	passage_preview	start_line
1	9931	3.000021	﻿The Project Gutenberg eBook of K	1
2	31516	2.001689	﻿The Project Gutenberg eBook of The Eyes Have It	1
3	28554	2.001432	﻿The Project Gutenberg eBook of Beyond Lies the Wub	1
4	28644	2.001166	﻿The Project Gutenberg eBook of Beyond the Door	1
5	32522	2.001009	﻿The Project Gutenberg eBook of Mr. Spaceship	1
6	28698	2.000532	﻿The Project Gutenberg eBook of The Crystal Crypt	1
7	28767	2.000455	﻿The Project Gutenberg eBook of The Defenders	1
8	40964	2.000405	﻿The Project Gutenberg eBook of Tony and the Beetles	1
9	29132	2.000400	﻿The Project Gutenberg eBook of The Gun	1
10	41562	2.000370	﻿The Project Gutenberg eBook of The Hanging Stranger	1
11	70242	2.000281	﻿The Project Gutenberg eBook of Prize ship	1
12	30255	2.000249	﻿The Project Gutenberg eBook of The Skull	1
13	32832	2.000133	﻿The Project Gutenberg eBook of Piper in the Woods	1
14	32032	2.000128	﻿The Project Gutenberg eBook of Second Variety	1
15	32154	2.000078	﻿The Project Gutenberg eBook of The Variable Man	1
16	44995	1.751421	﻿The Project Gutenberg eBook of Dick & Fitzgerald Catalog (1866)	1
17	48440	1.750113	﻿The Project Gutenberg eBook of The Plays of Philip Massinger, Vol. I	1
18	13168	1.510614	﻿The Project Gutenberg eBook of Dick in the Everglades	1
19	19554	1.510223	﻿The Project Gutenberg eBook of Dick Lionheart	1
20	31556	1.509212	﻿The Project Gutenberg eBook of Dick in the Desert	1
21	53166	1.508460	﻿The Project Gutenberg eBook of Dick and Dolly	1
22	21382	1.506715	﻿The Project Gutenberg eBook of Son Philip	1
23	16969	1.505631	﻿The Project Gutenberg eBook of Dick and Brownie	1
24	62304	1.503725	﻿The Project Gutenberg eBook of Black'erchief Dick	1
25	35365	1.500222	﻿The Project Gutenberg eBook of Philip Massinger	1
26	30431	1.500165	﻿The Project Gutenberg eBook of Calumet 'K'	1
27	18154	1.500150	"﻿The Project Gutenberg eBook of Calumet ""K"""	1
28	56208	1.428692	﻿The Project Gutenberg eBook of Philip Hale's Boston Symphony Programme Notes	1
29	60776	1.014458	﻿The Project Gutenberg eBook of The Transformation of Philip Jettan	1
30	72111	1.012893	﻿The Project Gutenberg eBook of Dick's retriever	1
31	50816	1.012114	﻿The Project Gutenberg eBook of Dick Kent with the Eskimos	1
32	50261	1.011616	﻿The Project Gutenberg eBook of Philip II. of Spain	1
33	48226	1.011252	﻿The Project Gutenberg eBook of Dick Donnelly of the Paratroops	1
34	54747	1.010495	﻿The Project Gutenberg eBook of Tom, Dick and Harriet	1
35	18171	1.010030	﻿The Project Gutenberg eBook of The Crucifixion of Philip Strong	1
36	56714	1.009877	﻿The Project Gutenberg eBook of Dick Lester of Kurrajong	1
37	20119	1.008494	﻿The Project Gutenberg eBook of Ambrotox and Limping Dick	1
38	63499	1.006337	﻿The Project Gutenberg eBook of Dick and Larry: Freshmen	1
39	28351	1.003866	﻿The Project Gutenberg eBook of Dick and His Cat, and Other Tales	1
40	32635	1.003228	﻿The Project Gutenberg eBook of The Diary of Philip Westerly	1
41	39734	1.001214	﻿The Project Gutenberg eBook of The Life of Philip Melanchthon	1
42	1962	1.000848	﻿The Project Gutenberg eBook of A Defence of Poesie and Poems	1
43	58758	1.000828	﻿The Project Gutenberg eBook of First Stage: Moon	1
44	65729	1.000763	﻿The Project Gutenberg eBook of John Harper's Insight	1
45	30670	1.000692	﻿The Project Gutenberg eBook of Mr. Chipfellow's Jackpot	1
46	26097	1.000628	﻿The Project Gutenberg eBook of Submission to Divine Providence in the Death of Children	1
47	64031	1.000481	﻿The Project Gutenberg eBook of Is That You Xeluchli?	1
48	58715	1.000462	﻿The Project Gutenberg eBook of Drawings of Old London	1
49	12302	1.000373	﻿The Project Gutenberg eBook of All in It : K(1) Carries On	1
50	2489	1.000372	﻿The Project Gutenberg eBook of Moby Dick; Or, The Whale	1
51	2701	1.000361	﻿The Project Gutenberg eBook of Moby Dick; Or, The Whale	1
52	34780	1.000344	﻿The Project Gutenberg eBook of Splores of a Halloween, Twenty Years Ago	1
53	66760	1.000287	"﻿The Project Gutenberg eBook of ""Next Stop, Nowhere!"""	1
54	38475	1.000286	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 1 (of 3)	1
55	66752	1.000260	﻿The Project Gutenberg eBook of Gunnison's Bonanza	1
56	39909	1.000255	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 3 (of 3)	1
57	52728	1.000228	﻿The Project Gutenberg eBook of Bell's Cathedrals: St. David's	1
58	52296	1.000197	﻿The Project Gutenberg eBook of The Deaf Shoemaker: To Which Are Added Other Stories for the Young	1
59	39950	1.000196	﻿The Project Gutenberg eBook of People of Destiny: Americans as I saw them at Home and Abroad	1
60	53105	1.000194	﻿The Project Gutenberg eBook of London Signs and Inscriptions	1
61	16485	1.000169	﻿The Project Gutenberg eBook of A Year's Journey through France and Part of Spain, Volume 1 (1777)	1
62	16994	1.000140	﻿The Project Gutenberg eBook of A Year's Journey through France and Part of Spain, Volume 2 (1777)	1
63	23422	1.000122	﻿The Project Gutenberg eBook of Essays Towards a Theory of Knowledge	1
64	38529	1.000118	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 2 (of 3)	1
65	19564	1.000112	﻿The Project Gutenberg eBook of The Pirates' Who's Who	1
66	70854	1.000101	﻿The Project Gutenberg eBook of The Countess of Pembroke's Arcadia	1
67	54420	1.000085	﻿The Project Gutenberg eBook of The Practical Astronomer	1
68	54645	1.000082	﻿The Project Gutenberg eBook of The True Ministers of Christ Accredited by the Holy Spirit: A Sermon	1
69	65907	1.000080	﻿The Project Gutenberg eBook of Wounded Souls	1
70	20992	1.000075	﻿The Project Gutenberg eBook of Tom, Dick and Harry	1
71	62900	1.000061	﻿The Project Gutenberg eBook of Opus 21	1
72	11682	1.000060	﻿The Project Gutenberg eBook of The Soul of the War	1
73	50497	1.000057	﻿The Project Gutenberg eBook of Back to Life	1
