rank	doc_id	score	passage_preview	start_line
1	9380	16.285304	JABBERWOCKY                            Lewis Carroll	59
2	35418	15.584129	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
3	36308	15.411132	JABBERWOCKY                                           29	112
4	20353	14.910576	Jabberwocky                                   Lewis Carroll        19	86
5	11483	14.796003	"the Looking-Glass""--""Jabberwocky"" in Latin--C.S."	195
6	12	12.799206	JABBERWOCKY.	442
7	23545	11.907267	"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,"	112
8	30778	11.791800	"Nothing of its kind better than ""Jabberwocky"" has ever been written,"	1257
9	23972	11.449413	The Jabberwocky of Authors             _Harry Persons Taber_         437	636
10	35688	11.307542	JABBERWOCKY	504
11	10688	11.074684	and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,	462
12	32587	10.799129	Jabberwocky emerged from the loudspeaker, ending in a chorus of,	2457
13	61325	10.091355	"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky."""	7357
14	59004	10.002600	immortal poem, “Jabberwocky,” has become a classic; but even in that	253
15	42574	9.549639	walk I'll go with you and do what I can in case the Jabberwocky or the	3606
16	41861	9.446413	toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent	3089
17	43223	9.314220	JABBERWOCKY.	15223
18	13784	8.164000	of the Jabberwocky of the Rennes court-martial as it is reported in	98
19	72054	7.999806	Jabberwocky.	4650
20	51248	7.983927	"the Carpenter,"" ""Jabberwocky."""	958
21	35138	7.678337	"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray"	730
22	56208	7.590880	II. Jabberwocky	13472
23	23800	7.291077	"Lewis Carroll's immortal ""Jabberwocky"" shows much rich humor of the"	3594
24	35341	7.255316	"""The Jabberwocky,"" _Alice in Wonderland_."	6467
25	54133	6.849958	Carpenter,” and Marie-Celeste's in the recitation of “Jabberwocky”	6389
26	23780	6.549257	the forest, and their language was decidedly Jabberwocky. The little	3904
27	6588	6.481750	Jabberwocky	399
28	37664	6.039890	"""Good Lord! What can I say? I can recite the Jabberwocky or the alphabet"	4402
29	65688	5.620168	sense in which we talk of the nonsense of Jabberwocky or the Land where	3853
30	50807	5.582279	night I would repeat the Jabberwocky. It had taken me a whole week	988
31	25730	5.340239	pleasurable one word jabberwocky despite the fiercely driven	813
32	70887	5.268982	The Jabberwocky (Dodgson)	13325
33	66346	4.773462	the second movement, “Jabberwocky,” the theme of the frightful beast,	12713
34	38	4.187210	":burble: [from Lewis Carroll's ""Jabberwocky""] v. Like {flame},"	3965
35	817	3.788556	":burble: /v./  [from Lewis Carroll's ""Jabberwocky""] Like"	2965
36	32267	3.752690	"""Jabberwocky."" Carroll, with a sense of mathematical neatness, makes"	18104
37	70546	3.320569	JABBERWOCKY.	8774
38	3008	3.176485	"[from Lewis Carroll's ""Jabberwocky""] Like flame, but connotes that the source is truly"	8680
