rank	doc_id	score	passage_preview	start_line
1	62064	143.751503	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
2	14006	142.441927	﻿The Project Gutenberg eBook of An English Grammar	1
3	15097	116.412597	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
4	11615	116.261052	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
5	45814	100.730753	﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises	1
6	45023	98.735082	﻿The Project Gutenberg eBook of The Pictorial Grammar	1
7	69207	98.030777	﻿The Project Gutenberg eBook of Tibetan Grammar	1
8	50595	97.997419	﻿The Project Gutenberg eBook of Bohemian Grammar	1
9	59795	97.977540	﻿The Project Gutenberg eBook of A Finnish Grammar	1
10	36882	97.936489	﻿The Project Gutenberg eBook of A Grammar of Freethought	1
11	12358	93.929738	Author: Society for Pure English	14
12	12524	91.294478	﻿The Project Gutenberg eBook of The Englishing of French Words; the Dialectal Words in Blunden's Poems	1
13	22129	90.412073	Author: Douglas English	14
14	55097	90.393469	Author: Douglas English	14
15	48702	90.107408	﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools	1
16	7188	90.059210	﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition	1
17	44802	84.352123	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
18	43397	84.331602	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
19	17594	82.315750	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
20	28766	80.070426	﻿The Project Gutenberg eBook of Elements of Gaelic Grammar	1
21	22577	80.042340	﻿The Project Gutenberg eBook of Practical Grammar and Composition	1
22	15665	80.004811	﻿The Project Gutenberg eBook of New Latin Grammar	1
23	7787	80.000774	﻿The Project Gutenberg eBook of A Complete Grammar of Esperanto	1
24	12390	73.879722	Society for Pure English	15
25	19879	73.844421	Author: George Bethune English	14
26	70415	73.811683	Author: Thomas Dunn English	15
27	20816	73.806726	Author: William English Walling	15
28	24594	73.804610	Author: George Bethune English	14
29	15968	73.801119	Author: George Bethune English	14
30	13311	73.798473	Author: Society for Pure English	14
31	17592	73.796323	Author: George Bethune English	14
32	28415	69.283526	﻿The Project Gutenberg eBook of History Plays for the Grammar Grades	1
33	44653	69.271306	﻿The Project Gutenberg eBook of A Latin Grammar for Schools and Colleges	1
34	34022	69.244136	﻿The Project Gutenberg eBook of An Essay in Aid of a Grammar of Assent	1
35	26991	67.460000	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
36	30036	67.275774	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
37	66712	62.084955	﻿The Project Gutenberg eBook of Grammar-land; Or, Grammar in Fun for the Children of Schoolroom-shire	1
38	12735	62.079501	﻿The Project Gutenberg eBook of The Grammar School Boys in Summer Athletics	1
39	5424	62.013767	﻿The Project Gutenberg eBook of Icelandic Primer with Grammar, Notes and Glossary	1
40	50336	61.999347	﻿The Project Gutenberg eBook of A Gothic Grammar, with selections for reading and a glossary	1
41	42026	61.993791	﻿The Project Gutenberg eBook of English-Bisaya Grammar, in Twenty Eight Lessons	1
42	7010	61.577717	﻿The Project Gutenberg eBook of Graded Lessons in English	1
43	21197	56.659176	﻿The Project Gutenberg eBook of Diego Collado's Grammar of the Japanese Language	1
44	44897	56.628679	﻿The Project Gutenberg eBook of Grammar of the New Zealand language (2nd edition)	1
45	62128	56.625602	﻿The Project Gutenberg eBook of A Grammar of Colloquial Chinese, as Exhibited in the Shanghai Dialect	1
46	5762	56.618642	﻿The Project Gutenberg eBook of Grammar and Vocabulary of the Lau Language, Solomon Islands	1
47	35815	56.616642	﻿The Project Gutenberg eBook of The International Auxiliary Language Esperanto: Grammar & Commentary	1
48	6963	56.548589	﻿The Project Gutenberg eBook of Elson Grammar School Literature, book 4	1
49	15127	52.419193	﻿The Project Gutenberg eBook of Pitman's Commercial Spanish Grammar (2nd ed.)	1
50	41016	52.387899	﻿The Project Gutenberg eBook of The Land of Song, Book 3. For upper grammar grades	1
51	38880	52.381971	﻿The Project Gutenberg eBook of The Land of Song, Book 2. For lower grammar grades	1
52	14070	51.665324	﻿The Project Gutenberg eBook of English Grammar in Familiar Lectures	1
53	29456	49.123271	﻿The Project Gutenberg eBook of The Comic Latin Grammar: A new and facetious introduction to the Latin tongue	1
54	16737	49.102506	Language: English	19
55	19807	49.097399	﻿The Project Gutenberg eBook of Sketch of Grammar of the Chippeway Languages	1
56	69603	49.085433	﻿The Project Gutenberg eBook of Bisayan grammar and notes on Bisayan rhetoric and poetics and Filipino dialectology	1
57	20789	49.082831	﻿The Project Gutenberg eBook of The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports	1
58	34316	49.073501	﻿The Project Gutenberg eBook of Anglo-Saxon Primer, With Grammar, Notes, and Glossary	1
59	22307	46.298790	﻿The Project Gutenberg eBook of The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving	1
60	31277	46.271485	﻿The Project Gutenberg eBook of Anglo-Saxon Grammar and Exercise Book	1
61	34595	44.534047	﻿The Project Gutenberg eBook of The English Language	1
62	49832	44.521082	﻿The Project Gutenberg eBook of English Monasteries	1
63	40550	44.517992	﻿The Project Gutenberg eBook of Plain English	1
64	41448	44.514962	﻿The Project Gutenberg eBook of The Oppressed English	1
65	37091	44.513777	﻿The Project Gutenberg eBook of A Song of the English	1
66	42139	44.505208	﻿The Project Gutenberg eBook of The English Lakes	1
67	56453	44.492085	﻿The Project Gutenberg eBook of The Egregious English	1
68	57664	44.492053	﻿The Project Gutenberg eBook of The English Lakes	1
69	38111	44.476162	﻿The Project Gutenberg eBook of English Society	1
70	39862	44.472968	﻿The Project Gutenberg eBook of English Traits	1
71	10913	44.470617	﻿The Project Gutenberg eBook of English Poems	1
