rank	doc_id	score	passage_preview	start_line
1	61708	16.155163	werden. Dornröschen. Nach den Vorstellungen mußte oft bis vier Uhr Morgens	2229
2	35116	14.500156	little Dornröschen who had retired to her solitude, and was dreaming of	4524
3	28100	14.295989	Ansicht entsprechen, beispielsweise unser allerliebstes Dornröschen.	2144
4	42900	13.820106	Dornröschen	106
5	63465	13.776957	Das Dornröschen.	7438
6	19716	13.696223	3. Dornröschen.	1920
7	30038	13.235720	DORNRÖSCHEN	792
8	22160	12.973301	{Section VII.} Musik, Dornröschen etc.......................... 143	211
9	35547	12.658212	willst, so mache ich das Dornröschen im Schloß, und du kommst mich	765
10	62670	11.867987	Nr. 1. =Dornröschen=, gez. v. J. Diez, München	679
11	31281	10.552284	88. Dornröschen.	4046
12	30269	10.528250	ought not to be. They did not long believe in Dornröschen and	1483
13	71976	10.387379	miterlebt haben? Es bestehen Pläne, auch dieses Dornröschen aus langem	449
14	40801	10.126331	elé: mintha a Dornröschen kastélya előtt állapodtak volna meg. Sehol,	289
15	60684	10.011975	Dornröschen und dem Ritter Blaubart im dunklen Waldesgrund.	2485
16	70560	9.846585	Wein darum und legte mich mit geschlossenen Augen ins Gras. Dornröschen	1369
17	65600	9.761680	Teich ein weltvergessenes Waldmärchen. Ein grünlockiges Dornröschen,	2629
18	45661	9.738428	Erfolg gefunden. Denn an die hundertjährigen Hecken, die das Dornröschen	333
19	27254	9.643477	der Tat, sie ist märchenhaft: ein Dornröschen, durch das reine Streben	96
20	39782	9.513004	Dornröschen, which in English we call The Sleeping Beauty, where the	775
21	54738	9.483600	Elise, von uns das Dornröschen genannt, im Russischen übte.	4391
22	46550	9.356018	Resultat anging, ebensogut vom Dornröschen hätten besetzt sein können,	398
23	50444	9.241794	ebensogut vor das schlafende Schloß der Prinzeß Dornröschen kommen	1309
24	66573	9.191018	von Dornröschen findet, die von Rosenduft und Morgentau zu leben glauben,	1576
25	69797	9.081547	aufgepflanzt, vornean der Lautenspieler, blond wie Dornröschen und das	602
26	60579	8.672357	gewesen, der so bekannte Weltmärchen wie »Dornröschen«, »Blaubart«,	3858
27	48127	8.238698	vom Dornröschen an, aber der böse Sandmann kam und streute so viel Sand	2045
28	50888	8.189049	liegen, bis endlich ein erwachsendes Dornröschen, eine junge, wenig	4849
29	68401	8.167683	farbige Vervielfältigung nach einer Originalzeichnung „Dornröschen	2220
30	61833	8.098228	Darstellungen aus dem Märchen (Dornröschen) und der Sage (Barbarossa)	3056
31	64466	7.745050	zurück. Die Mutter erzählte gerade die Geschichte vom Dornröschen, er	5653
32	51901	7.743026	mir den Weg zur Prinzeß Dornröschen gebahnt hatte -- war eine Lüge! Mit	5084
33	31099	7.324190	when on stable duty, allowed Dornröschen to get caught in her chain.	1408
34	46204	7.309523	Erfolg gehabt. Denn an die hundertjährigen Hecken, die das Dornröschen von	1229
35	12012	7.224564	Kindermärchen vom Dornröschen wird hievon gesungen und gesagt. Denn wenn	1717
36	66391	7.126104	Schneewitschen, Der Rattenfänger von Hamlin, Dornröschen, and all the	3300
37	71774	6.980930	Dornröschen; Marienkind.	6630
38	15070	6.931902	Leben im Mutterschoß wie Dornröschen in den Hecken, bis ein einziger	408
39	18947	6.643690	_Dornröschen_, or the Sleeping Beauty, there are twelve good fays;	6199
40	42286	6.493195	Dornröschen népe, s csak Viktor ketyegett, mint egy ócska falióra: a kis	10251
41	49395	6.435788	Frau Dornröschen. M. 3.--.	8263
42	45936	6.351748	Dornröschen hat sicherlich darauf Bezug, und ich wüßte nicht, was diese	2107
43	28938	6.211895	Dornröschen, ein selig Erwachen. Ich, dein Sohn, bin dein Ritter. Ich will	1399
44	29634	6.141587	"1895. April 13. Introduction to opera ""Dornröschen."" Boston, Mass."	10428
45	68883	6.003360	ein Wachsfigurencabinet, in welchem z. B. Dornröschen, von einem	5728
46	2779	5.956013	Dornröschen, die darauf warten, von der Barmherzigkeit und	4692
47	5724	5.947498	into Dornröschen, the Sleeping Beauty of our children's tales.	8067
48	62673	5.930096	so wie Dornröschen in ihrem moosgrünen Bett,	14778
49	62473	5.778928	álmot aludtak, de uj életre keltek s a Dornröschen bennük rejlett örök	5512
50	38502	5.702871	Dornröschen schlummert. Aber als des Jahres letzte Henkerstündlein	3644
51	16248	5.566847	followed in 1902 by 'Dornröschen,' another fairy play accompanied by	7609
52	49199	5.401092	Dornröschen dar, wie der Prinz es gerade wachküßt, das schenkte sie ihm.	766
53	63498	5.365984	auch das verborgene Veilchen und das Dornröschen in der Wildniß.	11724
54	49083	5.343614	vom schlafenden Dornröschen zu Grunde gelegt, und lasse vier schnurrige	8072
55	60500	4.970850	Busens. Sein Lippenpaar ist auch so ein Dornröschen, so knospend, so	11854
56	43393	4.964658	Dornröschen herself, but her money-bags from the spell.  Well, the	8154
57	13814	4.939631	briar round the beautiful maiden (hence named Dornröschen) when the	1114
58	56769	4.938113	Dornröschen selbst, sondern ihre Geldsäcke aus dem Zauberbanne erlöst?	9386
59	47584	4.393724	cocinero del cuento de Dornröschen, lo primero que hizo al despertarse	8651
60	53856	4.373990	Da schlief Dornröschen, die schöne Prinzessin, hinter dem Zauber der	12403
61	30211	4.227656	cuisinier du conte de Dornröschen, la première chose qu'elle fit en se	9016
62	16301	4.154204	klang, von Schneewittchen und Dornröschen erzählend oder von der kleinen	632
63	24782	4.071622	Schlummer geschlossenen Augen auf, wie die Prinzessin Dornröschen im	13605
64	54392	4.066856	has produced several other fairy operas, such as “Dornröschen,” “Die	14968
65	5314	2.625110	50 Little Briar-Rose (Dornröschen)	91
66	25545	2.055661	"""Dornröschen,"" and the more literal"	11958
67	10223	0.887917	Volksgesang und Dornröschen (in der Berliner Nationalgalerie)	62943
