rank	doc_id	score	passage_preview	start_line
1	14006	54.622926	﻿The Project Gutenberg eBook of An English Grammar	1
2	11615	49.750083	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
3	15097	49.590453	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
4	45814	45.345706	﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises	1
5	62064	42.821639	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
6	7188	42.333327	﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition	1
7	48702	41.603289	﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools	1
8	44802	40.381617	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
9	43397	40.376861	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
10	17594	39.328245	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
11	50595	35.366241	﻿The Project Gutenberg eBook of Bohemian Grammar	1
12	69207	35.312396	﻿The Project Gutenberg eBook of Tibetan Grammar	1
13	59795	35.202845	﻿The Project Gutenberg eBook of A Finnish Grammar	1
14	45023	35.121909	﻿The Project Gutenberg eBook of The Pictorial Grammar	1
15	36882	34.064957	﻿The Project Gutenberg eBook of A Grammar of Freethought	1
16	26991	32.901357	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
17	30036	32.780789	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
18	28766	32.581041	﻿The Project Gutenberg eBook of Elements of Gaelic Grammar	1
19	22577	32.431600	﻿The Project Gutenberg eBook of Practical Grammar and Composition	1
20	15665	31.881842	﻿The Project Gutenberg eBook of New Latin Grammar	1
21	7787	31.662401	﻿The Project Gutenberg eBook of A Complete Grammar of Esperanto	1
22	12358	31.057846	Author: Society for Pure English	14
23	7010	29.957879	﻿The Project Gutenberg eBook of Graded Lessons in English	1
24	44653	29.142949	﻿The Project Gutenberg eBook of A Latin Grammar for Schools and Colleges	1
25	28415	28.394940	﻿The Project Gutenberg eBook of History Plays for the Grammar Grades	1
26	50336	27.655928	﻿The Project Gutenberg eBook of A Gothic Grammar, with selections for reading and a glossary	1
27	5424	27.394902	﻿The Project Gutenberg eBook of Icelandic Primer with Grammar, Notes and Glossary	1
28	34022	27.285444	﻿The Project Gutenberg eBook of An Essay in Aid of a Grammar of Assent	1
29	12735	26.932030	﻿The Project Gutenberg eBook of The Grammar School Boys in Summer Athletics	1
30	66712	26.877707	﻿The Project Gutenberg eBook of Grammar-land; Or, Grammar in Fun for the Children of Schoolroom-shire	1
31	42026	26.716193	﻿The Project Gutenberg eBook of English-Bisaya Grammar, in Twenty Eight Lessons	1
32	21197	26.047450	﻿The Project Gutenberg eBook of Diego Collado's Grammar of the Japanese Language	1
33	62128	26.014402	﻿The Project Gutenberg eBook of A Grammar of Colloquial Chinese, as Exhibited in the Shanghai Dialect	1
