rank	doc_id	score	passage_preview	start_line
1	61708	0.987947	werden. Dornröschen. Nach den Vorstellungen mußte oft bis vier Uhr Morgens	2229
2	19716	0.734190	3. Dornröschen.	1920
3	62670	0.625115	Nr. 1. =Dornröschen=, gez. v. J. Diez, München	679
4	28100	0.622037	Ansicht entsprechen, beispielsweise unser allerliebstes Dornröschen.	2144
5	42900	0.593446	Dornröschen	106
6	30038	0.591684	DORNRÖSCHEN	792
7	35116	0.488820	little Dornröschen who had retired to her solitude, and was dreaming of	4524
8	35547	0.487080	willst, so mache ich das Dornröschen im Schloß, und du kommst mich	765
9	63465	0.442174	Das Dornröschen.	7438
10	22160	0.438363	{Section VII.} Musik, Dornröschen etc.......................... 143	211
11	31281	0.358975	88. Dornröschen.	4046
12	71976	0.342897	miterlebt haben? Es bestehen Pläne, auch dieses Dornröschen aus langem	449
13	40801	0.320526	elé: mintha a Dornröschen kastélya előtt állapodtak volna meg. Sehol,	289
14	30269	0.298278	ought not to be. They did not long believe in Dornröschen and	1483
15	65600	0.294119	Teich ein weltvergessenes Waldmärchen. Ein grünlockiges Dornröschen,	2629
16	45661	0.292591	Erfolg gefunden. Denn an die hundertjährigen Hecken, die das Dornröschen	333
17	27254	0.286516	der Tat, sie ist märchenhaft: ein Dornröschen, durch das reine Streben	96
18	39782	0.278579	Dornröschen, which in English we call The Sleeping Beauty, where the	775
19	60684	0.276730	Dornröschen und dem Ritter Blaubart im dunklen Waldesgrund.	2485
20	70560	0.276225	Wein darum und legte mich mit geschlossenen Augen ins Gras. Dornröschen	1369
21	46550	0.269594	Resultat anging, ebensogut vom Dornröschen hätten besetzt sein können,	398
22	50444	0.263406	ebensogut vor das schlafende Schloß der Prinzeß Dornröschen kommen	1309
23	54738	0.261371	Elise, von uns das Dornröschen genannt, im Russischen übte.	4391
24	66573	0.260743	von Dornröschen findet, die von Rosenduft und Morgentau zu leben glauben,	1576
25	69797	0.255172	aufgepflanzt, vornean der Lautenspieler, blond wie Dornröschen und das	602
26	60579	0.236161	gewesen, der so bekannte Weltmärchen wie »Dornröschen«, »Blaubart«,	3858
27	48127	0.218557	vom Dornröschen an, aber der böse Sandmann kam und streute so viel Sand	2045
28	50888	0.216680	liegen, bis endlich ein erwachsendes Dornröschen, eine junge, wenig	4849
29	68401	0.215880	farbige Vervielfältigung nach einer Originalzeichnung „Dornröschen	2220
30	61833	0.213311	Darstellungen aus dem Märchen (Dornröschen) und der Sage (Barbarossa)	3056
