rank	doc_id	score	passage_preview	start_line
1	36308	1.351203	JABBERWOCKY                                           29	112
2	20353	0.892390	Jabberwocky                                   Lewis Carroll        19	86
3	9380	0.735561	JABBERWOCKY                            Lewis Carroll	59
4	35418	0.603439	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
5	11483	0.509178	"the Looking-Glass""--""Jabberwocky"" in Latin--C.S."	195
6	23545	0.476247	"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,"	112
7	30778	0.459089	"Nothing of its kind better than ""Jabberwocky"" has ever been written,"	1257
8	12	0.454007	JABBERWOCKY.	442
9	35688	0.400727	JABBERWOCKY	504
10	32587	0.355177	Jabberwocky emerged from the loudspeaker, ending in a chorus of,	2457
11	10688	0.336991	and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,	462
12	23972	0.317380	The Jabberwocky of Authors             _Harry Persons Taber_         437	636
13	59004	0.302374	immortal poem, “Jabberwocky,” has become a classic; but even in that	253
14	61325	0.292786	"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky."""	7357
15	42574	0.278713	walk I'll go with you and do what I can in case the Jabberwocky or the	3606
16	41861	0.273789	toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent	3089
17	43223	0.263958	JABBERWOCKY.	15223
18	72054	0.223127	Jabberwocky.	4650
19	13784	0.222890	of the Jabberwocky of the Rennes court-martial as it is reported in	98
20	51248	0.216897	"the Carpenter,"" ""Jabberwocky."""	958
21	56208	0.211882	II. Jabberwocky	13472
22	35138	0.207205	"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray"	730
23	23800	0.195682	"Lewis Carroll's immortal ""Jabberwocky"" shows much rich humor of the"	3594
24	35341	0.194656	"""The Jabberwocky,"" _Alice in Wonderland_."	6467
25	6588	0.183800	Jabberwocky	399
26	54133	0.183428	Carpenter,” and Marie-Celeste's in the recitation of “Jabberwocky”	6389
27	23780	0.175526	the forest, and their language was decidedly Jabberwocky. The little	3904
28	37664	0.162834	"""Good Lord! What can I say? I can recite the Jabberwocky or the alphabet"	4402
29	65688	0.152922	sense in which we talk of the nonsense of Jabberwocky or the Land where	3853
30	50807	0.152048	night I would repeat the Jabberwocky. It had taken me a whole week	988
31	25730	0.146537	pleasurable one word jabberwocky despite the fiercely driven	813
32	70887	0.144937	The Jabberwocky (Dodgson)	13325
33	66346	0.134054	the second movement, “Jabberwocky,” the theme of the frightful beast,	12713
34	38	0.121608	":burble: [from Lewis Carroll's ""Jabberwocky""] v. Like {flame},"	3965
35	817	0.113315	":burble: /v./  [from Lewis Carroll's ""Jabberwocky""] Like"	2965
36	32267	0.112573	"""Jabberwocky."" Carroll, with a sense of mathematical neatness, makes"	18104
37	70546	0.103658	JABBERWOCKY.	8774
38	3008	0.100686	"[from Lewis Carroll's ""Jabberwocky""] Like flame, but connotes that the source is truly"	8680
